Complaint_No,Weapon_Type
20150114172500,"Personal Weapons (hands,feet,teeth,etc.)"
20150114173000,"Personal Weapons (hands,feet,teeth,etc.)"
20150114185200,"Personal Weapons (hands,feet,teeth,etc.)"
20150114194501,"Personal Weapons (hands,feet,teeth,etc.)"
20150114194504,"Personal Weapons (hands,feet,teeth,etc.)"
20150114204403,Handgun                                 
20150114204800,"Personal Weapons (hands,feet,teeth,etc.)"
20150114213601,"Blunt Object(club,hammer,etc)           "
20150114223902,Handgun                                 
20150114230301,"Personal Weapons (hands,feet,teeth,etc.)"
20150114234002,"Personal Weapons (hands,feet,teeth,etc.)"
20150114234902,"Personal Weapons (hands,feet,teeth,etc.)"
20150114234902,Unknown/Not Stated                      
